#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#  Nominal Voltage [V]	 Measured Voltage [V]	Channel [-]	R [kOhm]	R_Err [kOhm]	X [kOhm]	X_Err [kOhm]	C [pF]	Total Current [A]
# 
0.00000E+00	1.05543E-05	1.31000E+02	8.96019E+04	2.40760E+01	-4.27221E+04	2.43915E+01	7.45071E+01	-1.92624E-09
0.00000E+00	1.08861E-05	1.32000E+02	9.06630E+04	2.71092E+01	-4.37296E+04	1.06229E+01	7.27905E+01	-1.85369E-09
0.00000E+00	1.04215E-05	1.33000E+02	9.15671E+04	2.41153E+01	-4.41329E+04	1.21617E+01	7.21254E+01	-1.93101E-09
0.00000E+00	1.03552E-05	1.34000E+02	9.60684E+04	2.38974E+01	-4.83295E+04	2.55446E+01	6.58624E+01	-1.94629E-09
0.00000E+00	1.15414E-05	1.35000E+02	9.04073E+04	1.11717E+01	-4.34089E+04	2.39325E+01	7.33282E+01	-2.04547E-09
0.00000E+00	1.15331E-05	1.36000E+02	9.66903E+04	2.69032E+01	-5.00469E+04	2.93455E+01	6.36023E+01	-2.26277E-09
0.00000E+00	1.08695E-05	1.37000E+02	9.65149E+04	2.02170E+01	-4.98875E+04	2.50696E+01	6.38055E+01	-2.29639E-09
0.00000E+00	1.08944E-05	1.38000E+02	9.79457E+04	2.96501E+01	-5.09258E+04	3.00642E+01	6.25046E+01	-2.04929E-09
0.00000E+00	1.04879E-05	1.39000E+02	9.15794E+04	1.35522E+01	-4.59336E+04	3.54716E+01	6.92978E+01	-2.01739E-09
0.00000E+00	1.05792E-05	1.40000E+02	8.55655E+04	1.49592E+01	-4.04554E+04	1.77336E+01	7.86817E+01	-1.91589E-09
0.00000E+00	1.06870E-05	1.41000E+02	7.70973E+04	1.58616E+01	-3.12709E+04	1.39011E+01	1.01791E+02	-1.81415E-09
0.00000E+00	1.06538E-05	1.42000E+02	6.72921E+04	8.69910E+00	-1.77604E+04	1.14099E+01	1.79224E+02	-1.86098E-09
0.00000E+00	9.99019E-06	1.43000E+02	5.96816E+04	5.18945E+00	-2.94834E+03	7.25020E+00	1.07963E+03	-1.78254E-09
0.00000E+00	1.03552E-05	1.44000E+02	6.29655E+04	8.11310E+00	-9.39841E+03	4.97344E+00	3.38685E+02	-2.16225E-09
2.50000E+01	2.49845E+01	1.00000E+00	9.88446E+04	3.49574E+01	-5.15093E+04	3.35079E+01	6.17966E+01	8.14788E-08
2.50000E+01	2.49850E+01	2.00000E+00	9.76711E+04	1.97625E+01	-5.04459E+04	2.73261E+01	6.30993E+01	-2.16111E-09
2.50000E+01	2.49849E+01	3.00000E+00	9.61586E+04	2.11969E+01	-4.96212E+04	2.72602E+01	6.41479E+01	4.56227E-09
