#  Scan CV
#  Measurement Settings:
#  Power supply voltage limit:      2.10E+01 V
#  Power supply current limit:      5.00E-04 A
#  LCR measurement voltage:         5.01E-01 V
#  LCR measurement frequency:          5E+04 Hz
#  Voltage Delay:                      20.00 s
#  Channel Delay:                       0.20 s
#  Probecard temperature:               -1.0 C
#  Switchcard temperature:              24.4 C
#  Switchcard measurement setting:  CV
#  Switchcard display setting:      OFF
# 
# 
#Voltage	#Channel	#C_parallel	#Tot. curr.	#Act. vlt.
#[V]     	#         	#[pF]       #[nA]        	#[V]
2.50000E+01	1.04000E+02	7.25084E+01	-1.97205E-09	2.49861E+01
2.50000E+01	1.05000E+02	7.55256E+01	-8.51479E-09	2.49860E+01
2.50000E+01	1.06000E+02	7.58179E+01	-9.11582E-09	2.49855E+01
2.50000E+01	1.07000E+02	7.34676E+01	-6.30582E-09	2.49853E+01
2.50000E+01	1.08000E+02	7.47051E+01	-7.53232E-09	2.49857E+01
2.50000E+01	1.09000E+02	7.70002E+01	-5.40791E-09	2.49856E+01
2.50000E+01	1.10000E+02	7.59098E+01	1.40616E-09	2.49855E+01
2.50000E+01	1.11000E+02	7.30401E+01	-4.16353E-09	2.49859E+01
2.50000E+01	1.12000E+02	7.07903E+01	9.50701E-10	2.49852E+01
2.50000E+01	1.13000E+02	7.31779E+01	1.12642E-10	2.49860E+01
2.50000E+01	1.14000E+02	7.15788E+01	-2.03699E-09	2.49857E+01
2.50000E+01	1.15000E+02	7.32958E+01	-3.27132E-09	2.49858E+01
2.50000E+01	1.16000E+02	7.43518E+01	-2.28861E-09	2.49862E+01
2.50000E+01	1.17000E+02	7.40067E+01	-4.48402E-09	2.49862E+01
2.50000E+01	1.18000E+02	7.60948E+01	-3.55577E-09	2.49863E+01
2.50000E+01	1.19000E+02	7.64613E+01	-7.51458E-09	2.49859E+01
2.50000E+01	1.20000E+02	7.84700E+01	-4.12623E-09	2.49858E+01
2.50000E+01	1.21000E+02	7.46265E+01	-2.38098E-09	2.49859E+01
2.50000E+01	1.22000E+02	7.67684E+01	-6.30267E-09	2.49860E+01
2.50000E+01	1.23000E+02	7.18674E+01	-9.97777E-09	2.49856E+01
2.50000E+01	1.24000E+02	7.52074E+01	-3.11622E-09	2.49859E+01
2.50000E+01	1.25000E+02	7.30716E+01	-5.67913E-09	2.49854E+01
2.50000E+01	1.26000E+02	7.45461E+01	-4.12034E-09	2.49856E+01
2.50000E+01	1.27000E+02	7.69438E+01	-3.98055E-09	2.49860E+01
2.50000E+01	1.28000E+02	7.22092E+01	1.05200E-09	2.49864E+01
2.50000E+01	1.29000E+02	7.19561E+01	-7.27437E-09	2.49861E+01
2.50000E+01	1.30000E+02	7.51773E+01	-4.04587E-09	2.49863E+01
2.50000E+01	1.31000E+02	7.60547E+01	-5.03872E-09	2.49862E+01
2.50000E+01	1.32000E+02	7.43943E+01	-1.91621E-09	2.49861E+01
2.50000E+01	1.33000E+02	7.36332E+01	5.31467E-10	2.49861E+01
2.50000E+01	1.34000E+02	6.73986E+01	-2.27412E-09	2.49861E+01
2.50000E+01	1.35000E+02	7.48942E+01	-4.34100E-09	2.49861E+01
2.50000E+01	1.36000E+02	6.51173E+01	-2.89046E-09	2.49862E+01
2.50000E+01	1.37000E+02	6.53233E+01	-7.69256E-09	2.49861E+01
2.50000E+01	1.38000E+02	6.39936E+01	-8.47476E-10	2.49856E+01
2.50000E+01	1.39000E+02	7.08613E+01	-3.37902E-09	2.49861E+01
2.50000E+01	1.40000E+02	8.02126E+01	-6.72052E-09	2.49859E+01
2.50000E+01	1.41000E+02	1.03452E+02	-4.38972E-09	2.49859E+01
2.50000E+01	1.42000E+02	1.80250E+02	-8.55194E-09	2.49861E+01
2.50000E+01	1.43000E+02	9.95348E+02	-1.20399E-09	2.49864E+01
2.50000E+01	1.44000E+02	3.34371E+02	-3.49079E-09	2.49859E+01
5.00000E+01	1.00000E+00	6.17701E+01	6.49213E-08	4.99667E+01
5.00000E+01	2.00000E+00	6.30554E+01	3.18932E-09	4.99665E+01
5.00000E+01	3.00000E+00	6.41040E+01	1.14624E-08	4.99665E+01
5.00000E+01	4.00000E+00	6.76566E+01	6.02639E-09	4.99667E+01
5.00000E+01	5.00000E+00	6.15834E+01	1.62681E-09	4.99670E+01
5.00000E+01	6.00000E+00	6.20545E+01	-1.30416E-10	4.99665E+01
5.00000E+01	7.00000E+00	6.25415E+01	-1.44204E-09	4.99665E+01
5.00000E+01	8.00000E+00	6.49190E+01	-1.01927E-09	4.99667E+01
5.00000E+01	9.00000E+00	6.51769E+01	-6.44081E-10	4.99668E+01
5.00000E+01	1.00000E+01	6.58842E+01	9.61816E-10	4.99666E+01
5.00000E+01	1.10000E+01	6.77165E+01	4.77040E-09	4.99667E+01
5.00000E+01	1.20000E+01	6.75522E+01	-1.30872E-09	4.99669E+01
5.00000E+01	1.30000E+01	6.60078E+01	2.48179E-09	4.99669E+01
