#
# This is an automatically generated geo file
# Script: ../bin/create_regular_geofile.py
#
# Draws all available cell shapes
#
# padnumber	xposition	yposition	type	optional


141	+0.92	-3.90	12	SIZE:0.45,X_STRETCH:5.22,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
142	+0.94	-3.69	12	SIZE:0.45,X_STRETCH:5.31,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
143	+0.95	-3.49	12	SIZE:0.45,X_STRETCH:5.41,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
144	+0.97	-3.28	12	SIZE:0.45,X_STRETCH:5.50,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
145	+0.98	-3.08	12	SIZE:0.45,X_STRETCH:5.59,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
146	+1.00	-2.87	12	SIZE:0.45,X_STRETCH:5.69,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
147	+1.01	-2.67	12	SIZE:0.45,X_STRETCH:5.78,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
148	+1.03	-2.46	12	SIZE:0.45,X_STRETCH:5.88,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
149	+1.04	-2.26	12	SIZE:0.45,X_STRETCH:5.97,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
150	+1.06	-2.05	12	SIZE:0.45,X_STRETCH:6.06,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
151	+1.07	-1.84	12	SIZE:0.45,X_STRETCH:6.16,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
152	+1.09	-1.64	12	SIZE:0.45,X_STRETCH:6.25,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
153	+1.10	-1.43	12	SIZE:0.45,X_STRETCH:6.34,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
154	+1.12	-1.23	12	SIZE:0.45,X_STRETCH:6.44,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
155	+1.13	-1.02	12	SIZE:0.45,X_STRETCH:6.53,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
156	+1.15	-0.82	12	SIZE:0.45,X_STRETCH:6.62,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
157	+1.16	-0.61	12	SIZE:0.45,X_STRETCH:6.72,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
158	+1.18	-0.41	12	SIZE:0.45,X_STRETCH:6.81,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
159	+1.19	-0.20	12	SIZE:0.45,X_STRETCH:6.91,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
160	+1.21	+0.01	12	SIZE:0.45,X_STRETCH:7.00,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
161	+1.22	+0.21	12	SIZE:0.45,X_STRETCH:7.09,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
162	+1.24	+0.42	12	SIZE:0.45,X_STRETCH:7.19,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
163	+1.25	+0.62	12	SIZE:0.45,X_STRETCH:7.28,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
164	+1.27	+0.83	12	SIZE:0.45,X_STRETCH:7.38,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
165	+1.28	+1.03	12	SIZE:0.45,X_STRETCH:7.47,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
166	+1.30	+1.24	12	SIZE:0.45,X_STRETCH:7.56,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
167	+1.31	+1.44	12	SIZE:0.45,X_STRETCH:7.66,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
168	+1.32	+1.65	12	SIZE:0.45,X_STRETCH:7.75,Y_STRETCH:0.45,BEND:0.05,ROTATE:-4.00
