#
# This is an automatically generated geo file
# Script: ../create_regular_geofile.py
#
# draws all available cell shapes
#
# padnumber	xposition	yposition	size	type	rotation


467	6.3	3.4	0.4	12	45
468	5.7	3.0	0.4	12	45
469	6.3	3.0	0.4	12	45
470	5.7	2.5999999999999996	0.4	12	45
471	6.3	2.5999999999999996	0.4	12	45
472	5.7	1.8	0.4	12	45
473	6.3	1.8	0.4	12	45
474	5.7	1.4	0.4	12	45
475	6.3	1.4	0.4	12	45
476	5.7	1.0	0.4	12	45
477	6.3	1.0	0.4	12	45
478	5.7	0.5999999999999999	0.4	12	45
479	6.3	0.5999999999999999	0.4	12	45
480	5.7	-0.19999999999999996	0.4	12	45
481	6.3	-0.19999999999999996	0.4	12	45
482	5.7	-0.6	0.4	12	45
483	6.3	-0.6	0.4	12	45
484	5.7	-1.0	0.4	12	45
485	6.3	-1.0	0.4	12	45
486	5.7	-1.4000000000000001	0.4	12	45
487	6.3	-1.4000000000000001	0.4	12	45
488	5.7	-2.2	0.4	12	45
489	6.3	-2.2	0.4	12	45
490	5.7	-2.6	0.4	12	45
491	6.3	-2.6	0.4	12	45
492	5.7	-3.0	0.4	12	45
493	6.3	-3.0	0.4	12	45
494	5.7	-3.4000000000000004	0.4	12	45
495	6.3	-3.4000000000000004	0.4	12	45
496	5.7	-4.2	0.4	12	45
497	6.3	-4.2	0.4	12	45
498	5.7	-4.6000000000000005	0.4	12	45
499	6.3	-4.6000000000000005	0.4	12	45
500	5.7	-5.0	0.4	12	45
501	6.3	-5.0	0.4	12	45
502	5.7	-5.4	0.4	12	45
503	6.3	-5.4	0.4	12	45
504	5.7	-6.2	0.4	12	45
505	6.3	-6.2	0.4	12	45
506	5.7	-6.6000000000000005	0.4	12	45
507	6.3	-6.6000000000000005	0.4	12	45
508	5.7	-7.0	0.4	12	45
509	6.3	-7.0	0.4	12	45
510	5.7	-7.4	0.4	12	45
511	6.3	-7.4	0.4	12	45
